route;prD;Département;xD;yD;prF;xF;yF;TMJA
31D0044;0;31;511656,78;6204078,36;0;511698,51;6204063,93;
31D0044E;0;31;511367,22;6204210,06;0;511880,76;6203732,4;
69D0301;2;69;844036,84;6510806,45;7;849346,89;6509342,34;
69D0383;4;69;846831,3;6522372,16;17;843537,87;6512429,8;
69D0383BPNL;0;69;844982,46;6522772,27;2;846831,3;6522372,16;
75000C01;0;75;655221,44;6858722,8;35;655221,44;6858722,8;
75000C02;0;75;655227,28;6858703,75;35;655227,28;6858703,75;
A0001;0;93;653006,6;6867037,55;2;652895,68;6869486,5;132186
A0001;2;93;652895,68;6869486,5;3;653192,95;6870100,7;132186
A0001;3;93;653192,95;6870100,7;3;653570,77;6870241,67;132186
A0001;3;93;653570,77;6870241,67;4;654333,83;6870523,68;132186
A0001;4;93;654333,83;6870523,68;4;654554,12;6870572;132186
A0001;4;93;654554,12;6870572;4;654759,06;6870596,05;132186
A0001;4;93;654759,06;6870596,05;6;656725,22;6870934,53;132757
A0001;6;93;656725,22;6870934,53;7;656820,85;6870967,75;179900
A0001;7;93;656820,85;6870967,75;8;658432,54;6871533,44;179900
A0001;8;93;658432,54;6871533,44;11;660673,01;6873226,12;196501
A0001;11;93;660673,01;6873226,12;12;661190,21;6873674,3;122500
A0001;12;93;661190,21;6873674,3;0;662045,66;6874523,29;122500
A0001;0;95;662045,66;6874523,29;14;662458,53;6874933,32;
A0001;14;95;662458,53;6874933,32;18;665417,28;6878704,65;98800
A0001;18;95;665417,28;6878704,65;19;665481,08;6878892,47;
A0001;19;95;665481,08;6878892,47;20;665966,61;6880317,6;100582
A0001;20;95;665966,61;6880317,6;20;666035,68;6880520,91;100582
A0001;20;95;666035,68;6880520,91;27;667208,81;6887489,88;100582
A0001;27;95;667208,81;6887489,88;30;667345,96;6890249,01;88718
A0001;30;95;667345,96;6890249,01;32;667686,69;6891809,56;88718
A0001;32;60;667686,69;6891809,56;42;671659,72;6900724,84;85306
A0001;42;60;671659,72;6900724,84;44;672895,5;6901827,49;60705
A0001;44;60;672895,5;6901827,49;57;677269,45;6913464,74;66830
A0001;57;60;677269,45;6913464,74;66;678030,74;6921986,21;59640
A0001;66;60;678030,74;6921986,21;80;679799,4;6935810,25;55654
A0001;80;60;679799,4;6935810,25;92;682330,82;6946951,22;56145
A0001;92;60;682330,82;6946951,22;101;683521,06;6956095,56;56145
A0001;101;80;683521,06;6956095,56;118;687952,39;6972647,1;53287
A0001;118;80;687952,39;6972647,1;121;688279,33;6975583,73;66471
A0001;121;80;688279,33;6975583,73;131;690044,79;6985631,47;66888
A0001;131;80;690044,79;6985631,47;136;691298,91;6990414,29;67641
A0001;136;80;691298,91;6990414,29;138;691699,49;6992566,8;44371
A0001;138;80;691699,49;6992566,8;146;690810,7;7000344,35;44371
A0001;146;62;690810,7;7000344,35;165;690643,39;7019124,53;45960
A0001;165;62;690643,39;7019124,53;170;692272,53;7023133,97;47380
A0001;170;62;692272,53;7023133,97;174;694414,51;7026218,92;48851
A0001;174;62;694414,51;7026218,92;186;698769,14;7036692,02;73540
A0001;186;62;698769,14;7036692,02;186;698351,8;7037530,5;
A0001;187;62;698351,8;7037530,5;194;700064,97;7044327,59;
A0001;194;62;700064,97;7044327,59;201;703969,88;7049721,88;
A0001;201;59;703969,88;7049721,88;206;706554,89;7054220,35;
A0001;206;59;706554,89;7054220,35;207;707043,38;7055010,6;
A0001;207;59;707043,38;7055010,6;208;707336,72;7055888,26;
A0001;208;59;707336,72;7055888,26;209;706963,37;7056568,18;
A0001;209;59;706963,37;7056568,18;210;706031,24;7057548,76;
A0001;210;59;706031,24;7057548,76;210;705822,95;7058228,67;
A0001;210;59;705822,95;7058228,67;210;705853,12;7058267,95;
A0001A;0;59;706972,74;7056541,17;0;707662,24;7055847,86;
A0001A;0;59;707662,24;7055847,86;0;707804,17;7055831,63;
A0002;0;80;691468,61;6990871,19;3;693370,6;6993152,82;23269
A0002;3;80;693370,6;6993152,82;4;694311,12;6993756,09;23269
A0002;4;62;694311,12;6993756,09;5;694644,11;6993988,07;23269
A0002;5;80;694644,11;6993988,07;23;709099,55;7005132,49;23269
A0002;23;62;709099,55;7005132,49;23;709125,65;7005156,86;30405
A0002;23;62;709125,65;7005156,86;29;713257,98;7008860,47;30405
A0002;29;59;713257,98;7008860,47;43;723006,21;7017397,47;30846
A0002;43;59;723006,21;7017397,47;48;725627,61;7021472,12;
A0002;48;59;725627,61;7021472,12;52;729320,16;7024317,7;
A0002;52;59;729320,16;7024317,7;59;734668,99;7027138,4;
A0002;59;59;734668,99;7027138,4;60;736575,72;7026722,4;
A0002;60;59;736575,72;7026722,4;64;739544,2;7026627,58;
A0002;64;59;739544,2;7026627,58;78;747571,15;7038120,55;
A0002;78;59;747571,15;7038120,55;78;747580,04;7038125,36;
A0003;0;93;656905,33;6862885,42;2;659083,07;6864154,78;131984
A0003;2;93;659083,07;6864154,78;5;660839,58;6865000,1;131984
A0003;5;93;660839,58;6865000,1;5;661438,58;6865461,2;131984
A0003;5;93;661438,58;6865461,2;6;661341,51;6866014,86;118500
A0003;6;93;661341,51;6866014,86;7;661115,54;6866753,89;118500
A0003;7;93;661115,54;6866753,89;13;661436,37;6873324,45;136851
A0003;13;93;661436,37;6873324,45;15;661828,24;6874285,56;136851
A0003;15;93;661828,24;6874285,56;15;662054,31;6874505,58;136851
A0003;15;93;662054,31;6874505,58;0;662060,05;6874511,28;
A0003;0;95;662060,05;6874511,28;18;664307,23;6876895,05;
A0004;0;94;655327,41;6858648,39;0;655913,12;6858057,42;221626
A0004;0;94;655913,12;6858057,42;2;658101,96;6857611,05;221626
A0004;2;94;658101,96;6857611,05;3;658839,93;6857621,59;221626
A0004;3;94;658839,93;6857621,59;4;659928,26;6857581,56;221626
A0004;4;94;659928,26;6857581,56;5;660289,91;6857857,29;218577
A0004;5;94;660289,91;6857857,29;6;660644,54;6858469,45;218577
A0004;6;94;660644,54;6858469,45;6;661159,54;6858749,04;218577
A0004;6;94;661159,54;6858749,04;7;662254,01;6858982,54;218577
A0004;7;94;662254,01;6858982,54;9;663631,57;6858755,68;166109
A0004;9;94;663631,57;6858755,68;12;666569,29;6859712,71;166109
A0004;12;94;666569,29;6859712,71;12;666813,7;6859697,02;166109
A0004;12;94;666813,7;6859697,02;12;667107,88;6859671,17;
A0004;13;93;667107,88;6859671,17;13;667951,08;6859600,37;163077
A0004;13;93;667951,08;6859600,37;15;669403;6859476,1;181137
A0004;15;93;669403;6859476,1;15;669668,52;6859438,86;
A0004;15;93;669668,52;6859438,86;18;672042,48;6858927,22;
A0004;18;77;672042,48;6858927,22;20;673981,97;6859111,11;175703
A0004;20;77;673981,97;6859111,11;21;675391,58;6859186,65;179841
A0004;21;77;675391,58;6859186,65;24;678452,24;6858902,06;126847
A0004;24;77;678452,24;6858902,06;31;685000,15;6859283,64;110475
A0004;31;77;685000,15;6859283,64;34;687531,86;6860650,79;62284
A0004;34;77;687531,86;6860650,79;35;688592,33;6862280,8;38339
A0004;35;77;688592,33;6862280,8;40;692371,39;6865136,19;62264
A0004;40;77;692371,39;6865136,19;54;703123,88;6872380,35;30215
A0004;54;77;703123,88;6872380,35;64;710998,76;6879163,55;23408
A0004;64;77;710998,76;6879163,55;67;712935,31;6881400,97;21623
A0004;67;77;712935,31;6881400,97;85;729306,72;6886795,58;21623
A0004;85;2;729306,72;6886795,58;102;744513,26;6892913,47;21639
A0004;102;2;744513,26;6892913,47;109;750798,74;6894780,16;21639
A0004;109;51;750798,74;6894780,16;110;752403,92;6895434,02;21639
A0004;110;2;752403,92;6895434,02;114;754533,15;6897821,37;22789
A0004;114;2;754533,15;6897821,37;132;769236,05;6905742,86;22789
A0004;132;51;769236,05;6905742,86;133;770220,85;6905303,48;11749
A0004;133;51;770220,85;6905303,48;138;773548,81;6901331,29;27289
A0004;138;51;773548,81;6901331,29;144;779566,74;6901041,73;25477
A0004;144;51;779566,74;6901041,73;167;794045,61;6884731,3;37347
A0004;167;51;794045,61;6884731,3;170;796688,91;6883353,48;25694
A0004;170;51;796688,91;6883353,48;179;805303,52;6882591,5;16893
A0004;179;51;805303,52;6882591,5;212;836596,57;6887533,58;16521
A0004;212;51;836596,57;6887533,58;221;845737,63;6889853,82;16713
A0004;221;51;845737,63;6889853,82;230;853526,24;6890009,81;16713
A0004;230;55;853526,24;6890009,81;243;866183,97;6890869,49;16720
A0004;243;55;866183,97;6890869,49;254;876065,92;6892739,02;15930
A0004;254;55;876065,92;6892739,02;270;890950,21;6895025,63;17570
A0004;270;55;890950,21;6895025,63;280;900184,71;6899352,83;16975
A0004;280;55;900184,71;6899352,83;292;911048,86;6903691,66;16975
A0004;292;54;911048,86;6903691,66;299;917316,77;6903909,26;17874
A0004;299;54;917316,77;6903909,26;299;917682,12;6903726,32;17874
A0004;299;54;917682,12;6903726,32;311;928029,34;6905343,85;24491
A0004;311;57;928029,34;6905343,85;313;928920,43;6904680,3;33587
A0004;313;57;928920,43;6904680,3;315;931369,53;6904793,41;57785
A0004;315;57;931369,53;6904793,41;318;933808,09;6904492,99;59004
A0004;318;57;933808,09;6904492,99;326;936825,87;6898375,98;52150
A0004;326;57;936825,87;6898375,98;328;938588,09;6896894,76;21308
A0004;328;57;938588,09;6896894,76;343;952702,85;6898965,3;36913
A0004;343;57;952702,85;6898965,3;362;970909,54;6899281,92;31229
A0004;362;57;970909,54;6899281,92;369;977743,07;6899971,66;40025
A0004;369;57;977743,07;6899971,66;374;981432,35;6896692,34;22814
A0004;374;57;981432,35;6896692,34;381;986330,85;6892585,29;19349
A0004;381;57;986330,85;6892585,29;390;994165,89;6889980,17;17690
A0004;390;57;994165,89;6889980,17;393;996842,41;6889455,24;20621
A0004;393;57;996842,41;6889455,24;408;1001897,95;6876301,66;20621
A0004;408;67;1001897,95;6876301,66;417;1003853;6867371,39;21754
A0004;417;67;1003853;6867371,39;428;1011642,36;6861189,19;21754
A0004;428;57;1011642,36;6861189,19;432;1016315,46;6860892,35;31511
A0004;432;57;1016315,46;6860892,35;439;1021859,53;6861045,55;31511
A0004;439;67;1021859,53;6861045,55;456;1037986,73;6862000,87;27287
A0004;456;67;1037986,73;6862000,87;462;1044185,61;6860033,67;30798
A0004;462;67;1044185,61;6860033,67;472;1048515;6851879,81;63676
A0004;472;67;1048515;6851879,81;0;1048610,95;6849594,05;86446
A0004;3;67;1047895,29;6847389,87;4;1048123,31;6846216,35;100307
A0004;4;67;1048123,31;6846216,35;4;1048155,05;6845895,82;95763
A0004;4;67;1048155,05;6845895,82;4;1048174,06;6845654,17;95763
A0004;4;67;1048174,06;6845654,17;5;1048193,81;6845404,23;95763
A0004;6;67;1048337,16;6844413,47;6;1048919,61;6843838,18;122501
A0004;6;67;1048919,61;6843838,18;6;1049024,84;6843772,13;122501
A0005;0;77;673326,69;6832720,47;6;679850,48;6831696,57;22310
A0005;6;77;679850,48;6831696,57;13;684887,85;6826591,33;24111
A0005;13;77;684887,85;6826591,33;31;695806,06;6813081,55;22866
A0005;31;77;695806,06;6813081,55;38;701608,98;6808457,39;20052
A0005;38;77;701608,98;6808457,39;47;709825,97;6807720,86;17090
A0005;47;77;709825,97;6807720,86;48;710816,35;6807310,14;17090
A0005;48;89;710816,35;6807310,14;48;710851,89;6807293,25;17090
A0005;48;89;710851,89;6807293,25;63;721729,43;6796579,09;17090
A0005;63;89;721729,43;6796579,09;88;744434,89;6793544,49;14651
A0005;88;89;744434,89;6793544,49;88;744803,97;6793595,49;14245
A0005;88;89;744803,97;6793595,49;115;770171,07;6797223,85;14245
A0005;115;10;770171,07;6797223,85;131;783828,26;6791796,4;9632
A0005;131;10;783828,26;6791796,4;135;787625,23;6792747,94;11401
A0005;135;10;787625,23;6792747,94;157;807249,41;6787214,09;19980
A0005;157;10;807249,41;6787214,09;181;828758,21;6781139,67;19482
A0005;181;10;828758,21;6781139,67;182;829809,04;6780839,99;19482
A0005;182;52;829809,04;6780839,99;185;832763,39;6780586,31;19482
A0005;185;10;832763,39;6780586,31;186;833511,52;6780020,02;19612
A0005;186;10;833511,52;6780020,02;208;853553,2;6773042,6;19612
A0005;208;52;853553,2;6773042,6;228;866053,82;6758632,41;21844
A0005A;0;91;665756,59;6837277,51;0;665800,31;6836906,02;67591
A0005A;0;91;665800,31;6836906,02;1;666654,61;6835723,24;67591
A0005A;1;77;666654,61;6835723,24;2;667179,19;6835407,4;67591
A0005A;2;77;667179,19;6835407,4;3;667716;6835084,97;61184
A0005A;3;77;667716;6835084,97;4;669105,69;6834254,1;61184
A0005A;4;77;669105,69;6834254,1;6;670910,78;6833280,36;36877
A0005A;6;77;670910,78;6833280,36;9;673326,69;6832720,47;36877
A0006;0;91;650377,75;6849789,2;12;649016,85;6845768,84;120665
A0006;12;91;649016,85;6845768,84;20;653843,75;6840115,86;169382
A0006;20;91;653843,75;6840115,86;23;655870,7;6837408,02;112219
A0006;23;91;655870,7;6837408,02;24;656303,45;6836997,6;138932
A0006;24;91;656303,45;6836997,6;27;658102,38;6834785,86;138932
A0006;27;91;658102,38;6834785,86;27;658278,05;6834370,64;138932
A0006;27;91;658278,05;6834370,64;34;662347,16;6828716,42;86714
A0006;34;91;662347,16;6828716,42;38;663227,05;6825409,84;66800
A0006;38;91;663227,05;6825409,84;44;664266,34;6819482,33;
A0006;44;77;664266,34;6819482,33;46;664551,84;6817517,89;45317
A0006;46;77;664551,84;6817517,89;61;669801,59;6804358,68;43003
A0006;61;77;669801,59;6804358,68;69;676332,01;6798994,3;40441
A0006;69;77;676332,01;6798994,3;72;678714,6;6797010,73;45164
A0006;72;77;678714,6;6797010,73;80;683288,21;6790675,32;42163
A0006;80;77;683288,21;6790675,32;91;691541,88;6784209,91;25340
A0006;91;77;691541,88;6784209,91;106;703630,24;6775827,96;25340
A0006;106;45;703630,24;6775827,96;110;706617,23;6773414,43;25340
A0006;110;89;706617,23;6773414,43;111;707355,2;6772723,95;25370
A0006;111;89;707355,2;6772723,95;128;718213,7;6759824,03;35602
A0006;128;89;718213,7;6759824,03;153;741016,69;6750689,49;33916
A0006;153;89;741016,69;6750689,49;164;748638,36;6744537,2;31410
A0006;164;89;748638,36;6744537,2;190;766330,88;6729217,07;32878
A0006;190;89;766330,88;6729217,07;209;774828,71;6713046,86;33201
A0006;209;89;774828,71;6713046,86;219;784048,85;6711347,62;32642
A0006;219;89;784048,85;6711347,62;235;798494,24;6704699,36;32642
A0006;235;21;798494,24;6704699,36;264;817718,66;6684655,58;33451
A0006;264;21;817718,66;6684655,58;301;840560,33;6661604,9;28880
A0006;301;21;840560,33;6661604,9;304;841965,1;6659252,6;33063
A0006;304;21;841965,1;6659252,6;306;841291,96;6657249,93;69844
A0006;306;21;841291,96;6657249,93;314;838773,19;6650263,84;65092
A0006;314;21;838773,19;6650263,84;328;839206,2;6635427,66;65092
A0006;328;71;839206,2;6635427,66;335;839818,76;6629511,23;64154
A0006;335;71;839818,76;6629511,23;355;845450,78;6610714,48;58841
A0006;355;71;845450,78;6610714,48;380;841156,7;6587108,23;58127
A0006;380;71;841156,7;6587108,23;383;840480,89;6585076,11;59261
A0006;383;71;840480,89;6585076,11;391;837754;6577719,81;51385
A0006;391;71;837754;6577719,81;403;836524,77;6565504,37;60338
A0006;403;71;836524,77;6565504,37;412;835243,57;6557165,93;60338
A0006;412;69;835243,57;6557165,93;421;833434,78;6548516,71;69999
A0006;421;69;833434,78;6548516,71;426;834397,47;6543601,12;73818
A0006;426;69;834397,47;6543601,12;432;833876,81;6538669,37;92381
A0006;432;69;833876,81;6538669,37;432;833794,61;6537874,42;45508
A0006;432;69;833794,61;6537874,42;437;834450,54;6533919,86;46957
A0006;437;69;834450,54;6533919,86;443;836080,85;6528229;56155
A0006;443;69;836080,85;6528229;444;836617,58;6527361,05;72316
A0006;444;69;836617,58;6527361,05;445;836984,45;6526193,96;72316
A0006;445;69;836984,45;6526193,96;445;836987,33;6526181,39;
A0006;445;69;836987,33;6526181,39;455;842124,41;6518250,56;
A0006A;0;94;651028,1;6857774,7;8;650377,75;6849789,2;
A0006B;0;94;653099,19;6857546,04;0;650349,24;6849808,52;
A0006B;0;91;650349,24;6849808,52;9;649689,87;6848706,77;
A0007;0;69;842124,41;6518250,56;6;842815,69;6512880,2;
A0007;6;69;842815,69;6512880,2;7;843448,06;6512130,2;143042
A0007;7;69;843448,06;6512130,2;7;843610,6;6511843,46;143042
A0007;7;69;843610,6;6511843,46;13;842344,16;6506404,82;143042
A0007;13;69;842344,16;6506404,82;20;840219,1;6500318,34;93706
A0007;20;69;840219,1;6500318,34;20;840302,41;6500067,28;93706
A0007;6;38;843170,65;6487932,34;16;841286,89;6478245,59;75394
A0007;16;38;841286,89;6478245,59;23;841946,36;6471025,19;76478
A0007;23;38;841946,36;6471025,19;26;842482,22;6468533,76;69957
A0007;26;38;842482,22;6468533,76;55;847309,67;6442597,33;69957
A0007;55;26;847309,67;6442597,33;65;848666,22;6432135,15;69332
A0007;65;26;848666,22;6432135,15;73;848028,98;6424350,86;64253
A0007;73;26;848028,98;6424350,86;92;841979,92;6408158,15;85289
A0007;92;26;841979,92;6408158,15;102;842441,09;6398504,77;80895
A0007;102;26;842441,09;6398504,77;124;840496,9;6377353,4;74036
A0007;124;26;840496,9;6377353,4;142;838696,36;6360045,49;73090
A0007;142;26;838696,36;6360045,49;146;839253,27;6356460,91;73090
A0007;146;84;839253,27;6356460,91;162;841060,29;6342366,05;75123
A0007;162;84;841060,29;6342366,05;166;842816,01;6338889,74;83489
A0007;166;84;842816,01;6338889,74;167;843250,4;6338422,15;56452
A0007;167;84;843250,4;6338422,15;172;847540,51;6336266,39;56175
A0007;172;84;847540,51;6336266,39;188;851838,51;6322008,04;54819
A0007;188;84;851838,51;6322008,04;198;853885,57;6312777,69;62971
A0007;198;84;853885,57;6312777,69;199;854505,45;6311612,22;60793
A0007;199;84;854505,45;6311612,22;211;863613,14;6303922,66;60793
A0007;211;13;863613,14;6303922,66;221;868110,26;6296015,09;69201
A0007;221;13;868110,26;6296015,09;230;869693,31;6286551,61;66606
A0007;230;13;869693,31;6286551,61;234;871825,02;6283178,85;64723
A0007;234;13;871825,02;6283178,85;246;879961,4;6276338,49;97218
A0007;246;13;879961,4;6276338,49;0;881107,2;6269235,08;44805
A0007;259;13;881346,82;6263716,29;261;882415,63;6262394,78;59559
A0007;261;13;882415,63;6262394,78;262;882932,67;6261723,36;53516
A0007;262;13;882932,67;6261723,36;264;884182,34;6260313,85;82737
A0007;264;13;884182,34;6260313,85;264;884415,27;6260124,23;
A0007;264;13;884415,27;6260124,23;264;884461,15;6260083,66;112114
A0007;264;13;884461,15;6260083,66;265;884842,65;6259713,83;112114
A0007;265;13;884842,65;6259713,83;265;885577,42;6259108,81;94134
A0007;265;13;885577,42;6259108,81;265;885641,21;6259077,08;94134
A0007;265;13;885641,21;6259077,08;267;886958,06;6258769,64;52387
A0007;267;13;886958,06;6258769,64;269;888631;6259183,86;91766
A0007;269;13;888631;6259183,86;270;890116,18;6258747,66;85867
A0007;270;13;890116,18;6258747,66;271;890530,24;6257837,16;62208
A0007;271;13;890530,24;6257837,16;271;890530,4;6257836,17;118026
A0007;271;13;890530,4;6257836,17;272;890552,58;6257191,58;118026
A0007;272;13;890552,58;6257191,58;273;890987,51;6256101,47;118026
A0007;273;13;890987,51;6256101,47;275;891410,89;6254705,14;137514
A0007;275;13;891410,89;6254705,14;278;892864,22;6251270,9;131916
A0007N;21;38;840302,41;6500067,28;21;840541,5;6499453,8;
A0007N;21;38;840541,5;6499453,8;21;841061,47;6498731,41;109036
A0007N;21;38;841061,47;6498731,41;26;844044,54;6495429,96;107482
A0007N;26;38;844044,54;6495429,96;27;844793,89;6495073,16;81173
A0007N;27;38;844793,89;6495073,16;32;843664,14;6491196,13;81173
A0007N;32;69;843664,14;6491196,13;32;843615,41;6490536,22;72121
A0007N;32;69;843615,41;6490536,22;35;843170,65;6487932,34;72121
A0008;0;13;879950,89;6276365,3;1;880490,89;6275246,38;63712
A0008;1;13;880490,89;6275246,38;15;894236,93;6272700,96;62038
A0008;15;13;894236,93;6272700,96;18;896393,69;6271859,37;49034
A0008;18;13;896393,69;6271859,37;18;897128,85;6271276,31;
A0008;19;13;897128,85;6271276,31;19;897532,47;6271139,31;114937
A0008;19;13;897532,47;6271139,31;21;899607,01;6271320,69;99630
A0008;21;13;899607,01;6271320,69;26;904278,51;6269595,31;79767
A0008;26;13;904278,51;6269595,31;28;905180,37;6268345,87;
A0008;28;13;905180,37;6268345,87;30;907393,27;6268065,01;67333
A0008;30;13;907393,27;6268065,01;43;919668,19;6268020,31;40667
A0008;43;13;919668,19;6268020,31;46;923041,81;6268309,49;40667
A0008;46;83;923041,81;6268309,49;57;933327,9;6265697,86;41837
A0008;57;83;933327,9;6265697,86;73;948406,6;6262889,18;38943
A0008;73;83;948406,6;6262889,18;98;972107,84;6261313,54;35148
A0008;98;83;972107,84;6261313,54;117;987612,64;6268662,32;45045
A0008;117;83;987612,64;6268662,32;129;998586,78;6269166,63;54272
A0008;129;83;998586,78;6269166,63;133;1002040,41;6270539,25;48513
A0008;133;83;1002040,41;6270539,25;133;1002687,51;6271010,9;41945
A0008;133;83;1002687,51;6271010,9;145;1007932,41;6279181,54;58079
A0008;145;83;1007932,41;6279181,54;151;1013527,54;6278237,24;71278
A0008;151;83;1013527,54;6278237,24;157;1018415,65;6279652,51;71278
A0008;157;6;1018415,65;6279652,51;164;1023265,69;6284518,89;
A0008;164;6;1023265,69;6284518,89;172;1029635,26;6286769,27;89636
A0008;172;6;1029635,26;6286769,27;177;1032859,49;6290324,18;114307
A0008;177;6;1032859,49;6290324,18;179;1033854,84;6291905,06;
A0008;179;6;1033854,84;6291905,06;181;1034616,37;6293213,54;117647
A0008;181;6;1034616,37;6293213,54;185;1038251,83;6294353,21;148554
A0008;185;6;1038251,83;6294353,21;186;1038397,21;6295221;
A0008;186;6;1038397,21;6295221;190;1037611,12;6298654,07;63602
A0008;190;6;1037611,12;6298654,07;197;1042860,44;6301570,52;71615
A0008;197;6;1042860,44;6301570,52;200;1045749,93;6302020,02;74169
A0008;200;6;1045749,93;6302020,02;207;1051582,94;6303755,67;47117
A0008;207;6;1051582,94;6303755,67;208;1052825,31;6303834,75;28358
A0008;208;6;1052825,31;6303834,75;220;1060675,22;6310031,96;21609
A0008;220;6;1060675,22;6310031,96;223;1064459,62;6309307,73;18972
A0009;0;84;842693,26;6339023,15;7;841593,54;6331926,88;38935
A0009;7;84;841593,54;6331926,88;14;839239,21;6326352,07;38935
A0009;14;30;839239,21;6326352,07;29;828497,32;6316390,1;38413
A0009;29;30;828497,32;6316390,1;46;814533,39;6307230,85;51656
A0009;46;30;814533,39;6307230,85;55;808412,05;6302219,12;58110
A0009;55;30;808412,05;6302219,12;72;795040,92;6292620,56;70231
A0009;72;30;795040,92;6292620,56;74;793112,44;6292359,77;90322
A0009;74;30;793112,44;6292359,77;78;790247,17;6290215,33;90322
A0009;78;34;790247,17;6290215,33;87;782511,41;6286752,97;97273
A0009;87;34;782511,41;6286752,97;108;766587,59;6273400,9;46139
A0009;108;34;766587,59;6273400,9;122;755316,95;6264921,56;78090
A0009;122;34;755316,95;6264921,56;148;733720,8;6253169,83;66888
A0009;148;34;733720,8;6253169,83;159;723957,61;6248915,24;62535
A0009;159;34;723957,61;6248915,24;166;718099,4;6244969,88;67485
A0009;166;34;718099,4;6244969,88;175;712287,94;6238516,49;66974
A0009;175;34;712287,94;6238516,49;188;702805,45;6230817,98;66974
A0009;188;11;702805,45;6230817,98;192;699498,66;6229311,59;72194
A0009;192;11;699498,66;6229311,59;193;698654,46;6227948,72;70297
A0009;193;11;698654,46;6227948,72;208;696140,23;6214876,63;52699
A0009;208;11;696140,23;6214876,63;219;697537,93;6204410,15;49575
A0009;219;11;697537,93;6204410,15;227;698585,43;6196493,63;45413
A0009;227;11;698585,43;6196493,63;241;691400,86;6187031,76;45413
A0009;241;66;691400,86;6187031,76;255;688619,9;6173843,4;36426
A0009;255;66;688619,9;6173843,4;271;685179,75;6158398,07;36284
A0009;271;66;685179,75;6158398,07;280;688911,76;6151643,75;34303
A0010;0;91;650111,04;6849354,31;4;647252,75;6846103,89;133885
A0010;4;91;647252,75;6846103,89;6;645601,36;6846724,58;127690
A0010;6;91;645601,36;6846724,58;0;640733,53;6841509,72;75933
A0010;0;91;640733,53;6841509,72;0;640670,64;6841418,49;
A0010;0;91;640670,64;6841418,49;1;639645,79;6839918,02;101941
A0010;1;91;639645,79;6839918,02;15;628916,57;6832623,53;74967
A0010;15;91;628916,57;6832623,53;19;625295,26;6830304,76;74967
A0010;19;78;625295,26;6830304,76;22;622448,93;6829428,76;68579
A0010;22;78;622448,93;6829428,76;23;621526,5;6828972,58;68579
A0010;23;91;621526,5;6828972,58;26;619433,56;6827711,81;68579
A0010;26;78;619433,56;6827711,81;36;619546,52;6817851,55;36947
A0010;36;78;619546,52;6817851,55;37;619344,1;6816675,8;42256
A0010;37;78;619344,1;6816675,8;64;614514,15;6789913,4;42256
A0010;64;28;614514,15;6789913,4;78;614491,93;6776635,86;46458
A0010;78;28;614491,93;6776635,86;78;614490,62;6776622,8;46458
A0010;78;28;614490,62;6776622,8;82;613572,62;6771787,92;49644
A0010;82;45;613572,62;6771787,92;93;614082,99;6761726,54;55730
A0010;93;45;614082,99;6761726,54;98;613840,13;6756482,77;59447
A0010;98;45;613840,13;6756482,77;115;600101,72;6748921,25;36154
A0010;115;45;600101,72;6748921,25;126;592095,09;6741259,77;33171
A0010;126;45;592095,09;6741259,77;131;588022,62;6737761,35;33171
A0010;131;41;588022,62;6737761,35;148;575765,02;6726189,09;32937
A0010;148;41;575765,02;6726189,09;171;554162,45;6721379,98;30698
A0010;171;41;554162,45;6721379,98;178;548452,57;6718093,4;30698
A0010;178;37;548452,57;6718093,4;197;531571,78;6709619,62;30684
A0010;197;37;531571,78;6709619,62;199;530124,11;6707960,39;34857
A0010;199;37;530124,11;6707960,39;204;528157,75;6703326,68;37935
A0010;204;37;528157,75;6703326,68;206;527063,38;6702010;60005
A0010;206;37;527063,38;6702010;210;527483,09;6698626,33;65144
A0010;210;37;527483,09;6698626,33;212;526365,25;6696245,06;42690
A0010;212;37;526365,25;6696245,06;217;525652,56;6691711,04;36915
A0010;217;37;525652,56;6691711,04;223;523454,18;6686461,21;
A0010;223;37;523454,18;6686461,21;241;517250,2;6669946,34;26677
A0010;241;37;517250,2;6669946,34;258;513644,75;6653945,18;25197
A0010;258;37;513644,75;6653945,18;272;511370;6640452,9;25197
A0010;272;86;511370;6640452,9;278;509273,29;6634197,46;26695
A0010;278;86;509273,29;6634197,46;295;498052,32;6622504,18;28343
A0010;295;86;498052,32;6622504,18;301;497115,5;6617083,96;28484
A0010;301;86;497115,5;6617083,96;311;491784,85;6609515,54;26918
A0010;311;86;491784,85;6609515,54;338;468584,17;6599176,21;26362
A0010;338;86;468584,17;6599176,21;343;463405,83;6596764,36;26362
A0010;343;79;463405,83;6596764,36;363;446277,97;6588129,73;27116
A0010;363;79;446277,97;6588129,73;370;441578,14;6583918,99;35149
A0010;370;79;441578,14;6583918,99;379;435311,61;6576705,85;33197
A0010;379;79;435311,61;6576705,85;393;427650,95;6565622,19;28708
A0010;393;79;427650,95;6565622,19;412;425174,54;6546942,94;28708
A0010;412;17;425174,54;6546942,94;435;415286,08;6527798,76;27963
A0010;435;17;415286,08;6527798,76;439;414634,97;6523835,93;38419
A0010;439;17;414634,97;6523835,93;460;419343,9;6503817,43;31805
A0010;460;17;419343,9;6503817,43;483;418820,23;6481071,09;31687
A0010;483;17;418820,23;6481071,09;488;420545,18;6476593,46;34267
A0010;488;17;420545,18;6476593,46;488;420554,47;6476563,78;34267
